User,Date Added,Name,Type,Description,Additional,Status,Price,Discount,Valid Start Date,Valid End Date,Last Updated,Edited by 
Hari,2/11/2024,Classic Delight,Cookies,A timeless favourite with gooey chocolate chips in every bite. ,N/A,Active,30,,,,,
Hari,2/11/2024,Nutty Bliss,Cookies,Crunchy almonds meet rich chocolate chips for a delightful treat.,N/A,Active,35,,,,,
Hari,2/11/2024,Golden Macadamia Crunch,Cookies,"Smooth, buttery macadamic nuts mixed with chocolate chunks.",N/A,Active,45,,,,,
Hari,2/11/2024,Spooky Bites,Cookies,Dark cocoa cookies with orange sprinkles - a wickedly sweet Halloween treat.,Seasonal,Active,35,15,25/10/2024,7/11/2024,,
Hari,2/11/2024,Fiesta Funfetti,Cookies,"Colorful sprinkles add a pop of fun to these soft, chewy cookies - perfect for celebrations.",N/A,Active,35,,,,,
Hari,2/11/2024,Coconut Dream,Cookies,Tropical flavours with shredded coconut and chocolate chip goodness.,N/A,Active,35,,,,,
Hari,2/11/2024,Double Choc Crave,Cookies,"A rich, double chocolate delight for true chocoholics.",N/A,Inactive,35,,,,,
Hari,2/11/2024,Snowy Bliss Co,Cookies,"A soft, melt-in-your mouth cookie with creamy white chocolate chips",N/A,Active,35,,,,,
Hari,2/11/2024,Rum Royale,Cookies,"A rich, indulgent cookie with a touch of rum and dark chocolate - a treat for grown ups.",N/A,Active,35,,,,,
Hari,2/11/2024,Green Zen,Cookies,"A soft, earthy cookie with the vibrant flavor of matcha and a hint of sweetness. ",N/A,Active,35,,,,"[2/11/24, 3/11/24]","[Hari, Selina]"
Hari,2/11/2024,Golden Curry Puffs,Pastries,"Flaky pastry filled with a spiced potato and chicken mixture, perfect for a savory treat.",Or switch to Sardine curry puffs,Active,35,,,,,
Hari,2/11/2024,Kaya Delight Rolls,Pastries,"Soft, fluffy rolls filled with sweet kaya (coconut jam), bringing a classic Malaysian taste to the table.",N/A,Active,35,,,,,
Hari,2/11/2024,Spiced Samosa Bites,Pastries,"Crisp samosas with a flavorful filling of potatoes, peas, and spices – a crowd-pleaser at any gathering.",16 pieces,Active,35,,,,,
Hari,2/11/2024,Pandan Bliss Cake,Cakes,"Light and airy cake infused with pandan, giving it a fragrant aroma and a beautiful green color.",16 pieces,Inactive,50,,,,,
Hari,2/11/2024,Masala Chai Spike Cake,Cakes,"Soft cake infused with the flavors of masala chai, topped with a light cinnamon glaze.",16 pieces,Inactive,50,,,,,
Hari,2/11/2024,Mango Coconut Dream Cake,Cakes,"A tropical treat with layers of mango puree and coconut cream, perfect for summer parties.",16 pieces,Active,50,,,,,
Hari,2/11/2024,Sticky Gula Melaka Cake,Cakes,"Moist and sticky cake with caramel-like flavors from gula melaka, topped with coconut shavings.",16 pieces,Active,55,,,,,
